After product description,After product description
After short description,After short description
Block Position,Block Position
Bottom of the page,Bottom of the page
Color Scheme,Color Scheme
Dark,Dark
Default Order By,Default Order By
Enable,Enable
Facebook Comments,Facebook Comments
General Settings,General Settings
In a separate tab,In a separate tab
Light,Light
Number of Comments,Number of Comments
Reverse Time,Reverse Time
Social,Social
The color scheme used by the comments plugin.,The color scheme used by the comments plugin.
The number of comments to show by default. The minimum value is 1.,The number of comments to show by default. The minimum value is 1.
Time,Time
Width of the Plugin,Width of the Plugin
